1.0.-Etxebizitzen salerosketa kopurua. 2018ko 2. hiruhilekoa;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;4.072,47;2.526,07;2.319,94;2.591,85;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.412,55;1.100,88;977,18;896,34;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; n.d. ;1.862,17;1.591,23;1.440,52;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.200,37;1.093,61;1.103,17;1.192,15;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.577,62;1.375,02;1.118,45;1.063,16;;;;
;;;;;;;;;
;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2018ko 2. hiruhilekoa;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;
Nazionala/Nacional;ESPAÑA;1.727,62;1.401,14;1.356,22;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.439,24;3.444,39;2.516,09;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.376,15;1.128,75;1.093,96;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.349,65;1.140,88;763,45;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.210,89;1.167,88;1.037,96;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.339,94;2.056,85;2.576,87;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.180,59;1.198,66;708,80;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;756,03;576,79;427,26;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.318,95;987,98;867,20;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.104,22;938,27;711,40;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;833,45;729,81;620,13;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.898,68;2.084,02;1.461,68;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.442,22;1.069,23;1.187,53;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.131,03;1.711,42;1.712,03;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.632,91;1.830,52;2.729,57;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;982,10;1.042,02;679,15;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.497,52;1.289,05;1.377,82;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.201,83;1.412,70;1.337,24;;;;;
;;;;;;;;;
;;;;;;;;;
1.2.- Hiri-lurzoruaren batez besteko prezioa (€/m2). 2018ko 2. hiruhilekoa;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;359,89;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;472,83;;;;;;;
Lurraldea/TTHH;GIPUZKOA;328,51;;;;;;;
Lurraldea/TTHH;BIZKAIA;316,01;;;;;;;
;;;;;;;;;
;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldakuntza (%). 2018ko 2. hiruhilekoa;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;
Nazionala/Nacional;ESPAÑA;4,21;2,30;0,20;-7,87;0,43;1,37;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3,18;2,30;0,40;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2,50;2,20;-0,40;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2,94;2,30;0,40;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1,96;2,20;0,40;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;7,78;2,20;0,70;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;8,39;1,80;0,10;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;0,56;2,50;-0,10;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;0,89;2,40;0,30;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;2,58;2,60;-0,60;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;5,20;2,40;0,80;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2,59;2,10;-0,20;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;0,71;2,30;0,30;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;7,16;2,10;0,40;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-0,97;2,10;-0,10;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;7,30;2,50;0,00;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;10,80;2,10;-0,80;-7,87;0,43;1,37;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;4,52;2,40;-0,20;-7,87;0,43;1,37;;
;;;;;;;;;
;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2018ko 2. hiruhilekoa;;;;;;;;;
1.4.- Compraventas de extranjeros. 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;
ESPAÑA;España;116.775,00;0,87;-;;;;;
ESPAÑA;Reino Unido;2.565,00;0,02;0,15;;;;;
ESPAÑA;Alemania;1.302,00;0,01;0,08;;;;;
ESPAÑA;Francia;1.210,00;0,01;0,07;;;;;
ESPAÑA;Belgica;1.104,00;0,01;0,06;;;;;
ESPAÑA;Suecia;1.050,00;0,01;0,06;;;;;
ESPAÑA;Rumania;959,00;0,01;0,06;;;;;
ESPAÑA;Italia;950,00;0,01;0,06;;;;;
ESPAÑA;Marruecos;891,00;0,01;0,05;;;;;
ESPAÑA;China;650,00;0,00;0,04;;;;;
ESPAÑA;Rusia;510,00;0,00;0,03;;;;;
ESPAÑA;Holanda;465,00;0,00;0,03;;;;;
ESPAÑA;Noruega;370,00;0,00;0,02;;;;;
ESPAÑA;Polonia;309,00;0,00;0,02;;;;;
ESPAÑA;Ucrania;265,00;0,00;0,02;;;;;
ESPAÑA;Argelia;257,00;0,00;0,02;;;;;
ESPAÑA;Irlanda;226,00;0,00;0,01;;;;;
ESPAÑA;Bulgaria;197,00;0,00;0,01;;;;;
ESPAÑA;Dinamarca;190,00;0,00;0,01;;;;;
ESPAÑA;Suiza;169,00;0,00;0,01;;;;;
ESPAÑA;Finlandia;136,00;0,00;0,01;;;;;
ESPAÑA;Gainerakoa/Resto;3.410,00;0,03;0,20;;;;;
;;;;;;;;;
;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2018ko 2. hiruhilekoa;;;;;;;;;
1.4.- Compraventas de extranjeros. 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;
EUSKADI/PAÍS VASCO;España;4.928,00;0,98;-;;;;;
EUSKADI/PAÍS VASCO;Rumania;17,00;0,00;0,14;;;;;
EUSKADI/PAÍS VASCO;China;10,00;0,00;0,08;;;;;
