1.0.-Etxebizitzen salerosketa kopurua. 2020ko 1. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2020;;;;;;;
;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;262,00;268,00;164,00;275,00;247,00;142,00
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;275,00;278,00;181,00;285,00;264,00;150,00
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;279,00;288,00;167,00;263,00;234,00;149,00
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;284,00;288,00;187,00;308,00;280,00;170,00
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;268,00;272,00;177,00;277,00;241,00;138,00
Erakunde Autonomoa/CCAA;MADRIL/MADRID;285,00;293,00;170,00;224,00;289,00;123,00
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;270,00;273,00;173,00;298,00;265,00;170,00
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;280,00;285,00;189,00;322,00;113,00;166,00
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;218,00;240,00;162,00;157,00;  n.d.  ;  n.d.  
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;270,00;270,00;181,00;305,00;242,00;159,00
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;289,00;294,00;147,00;313,00;  n.d.  ;  n.d.  
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;285,00;292,00;201,00;313,00;  n.d.  ;  n.d.  
Hiriburak/Capitales de TTHH;Bilbao;284,00;302,00;154,00;306,00;  n.d.  ;  n.d.  
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;289,00;293,00;  n.d.  ;  n.d.  ;  n.d.  ;  n.d.  
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;287,00;293,00;190,00;319,00;109,00;169,00
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;285,00;291,00;162,00;310,00;101,00;141,00
Eskualde Egitura/Áreas funcionales;Álava Central;288,00;293,00;147,00;311,00;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;278,00;284,00;  n.d.  ;  n.d.  ;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;294,00;300,00;  n.d.  ;304,00;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;284,00;295,00;157,00;305,00;79,00;137,00
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;287,00;293,00;191,00;315,00;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Durango;296,00;297,00;  n.d.  ;336,00;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Eibar;285,00;287,00;  n.d.  ;  n.d.  ;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Gernika-Markina;278,00;281,00;  n.d.  ;  n.d.  ;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Igorre;288,00;284,00;  n.d.  ;  n.d.  ;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Laguardia;256,00;266,00;  n.d.  ;  n.d.  ;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;306,00;306,00;  n.d.  ;  n.d.  ;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;268,00;272,00;  n.d.  ;  n.d.  ;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Mungia;240,00;  n.d.  ;  n.d.  ;  n.d.  ;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Tolosa;272,00;288,00;  n.d.  ;  n.d.  ;  n.d.  ;  n.d.  
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;295,00;303,00;  n.d.  ;353,00;  n.d.  ;  n.d.  
;;;;;;;
3.5.1.- Batez besteko hileroko hipoteka-kuota (€) eta  Soldata kostuarekiko ehunekoa. 2020ko 1. hiruhilekoa;;;;;;;
3.5.1.- Cuota hipotecaria mensual media (€) y Porcentaje respecto al coste salarial. 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                           ÁMBITO;Hileko kuota Cuota mensual;Soldata-kostua Coste salarial;% soldataren gaineko kuota % cuota sobre salario;;;
Nazionala/Nacional;ESPAÑA;579,22;1.955,19;29,62;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;637,75;2.289,94;27,85;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;481,33;1.705,32;28,23;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;523,84;1.883,93;27,81;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;451,59;2.007,85;22,49;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;836,90;1.872,56;44,69;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;501,30;1.643,88;30,49;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;454,07;1.881,80;24,13;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;450,85;1.750,50;25,76;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;421,99;1.700,75;24,81;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;685,52;2.098,09;32,67;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;379,58;1.597,63;23,76;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;456,90;1.762,23;25,93;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;838,99;2.342,75;35,81;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;379,01;1.696,93;22,34;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;538,25;2.121,62;25,37;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;432,34;1.772,96;24,39;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;436,39;1.729,83;25,23;;;
;;;;;;;
3.5.2.- Interes-motak. Zenbatekoa (%). 2020ko 1. hiruhilekoa;;;;;;;
3.5.2.- Tipos de interés. Importe (%). 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;INTERESA     INTERES;;;;;
Nazionala/Nacional;ESPAÑA;2,24;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1,77;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2,33;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2,28;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2,26;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2,17;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2,30;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2,10;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;2,23;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;2,31;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2,39;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2,39;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2,31;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2,07;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2,31;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1,98;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;2,32;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;2,31;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;1,71;;;;;
Lurraldea/TTHH;GIPUZKOA;1,79;;;;;
Lurraldea/TTHH;BIZKAIA;1,78;;;;;
;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;
;;;;;;;
