1.0.-Etxebizitza salerosketak. 2012ko 4. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
ESPAÑA;Noruega;422,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Argelia;1,00;0,00;0,04%
ESPAÑA;Suecia;391,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Suiza;1,00;0,00;0,04%
ESPAÑA;Italia;295,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Ucrania;1,00;0,00;0,04%
ESPAÑA;China;274,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Suecia;1,00;0,00;0,04%
ESPAÑA;Argelia;245,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Israel;1,00;0,00;0,04%
ESPAÑA;Paises Bajos (Holand;191,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Italia;1,00;0,00;0,04%
ESPAÑA;Rumania;163,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Nigeria;1,00;0,00;0,04%
ESPAÑA;Marruecos;157,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Portugal;1,00;0,00;0,04%
ESPAÑA;Suiza;108,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Gainerakoa/Resto;2,00;0,00;0,07%
ESPAÑA;Irlanda;90,00;0,00;0,00;;;;;;
ESPAÑA;Dinamarca;89,00;0,00;0,00;;;;;;
ESPAÑA;Ucrania;86,00;0,00;0,00;;;;;;
ESPAÑA;Finlandia;59,00;0,00;0,00;;;;;;
ESPAÑA;Argentina;56,00;0,00;0,00;;;;;;
ESPAÑA;Polonia;56,00;0,00;0,00;;;;;;
ESPAÑA;Gainerakoa/Resto;388,00;0,00;0,00;;;;;;
;;;;;;;;;;
;;;;;;;;;;
