1.0.-Etxebizitzen salerosketa kopurua. 2023ko 1. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2023;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Udalerriak >40.000/Municipios >40.000;Barakaldo;2.824,42;4.279,58;2.565,60;;;;
Udalerriak >40.000/Municipios >40.000;Basauri;2.228,01; n.d. ; n.d. ;;;;
Udalerriak >40.000/Municipios >40.000;Getxo;3.771,05;4.469,89;3.682,31;;;;
Udalerriak >40.000/Municipios >40.000;Portugalete;2.589,89; n.d. ; n.d. ;;;;
Udalerriak >40.000/Municipios >40.000;Santurtzi;2.254,95;2.470,18;2.178,21;;;;
;;;;;;;;
;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2023ko 1. hiruhilekoa;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 01 trimestre 2023;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;
Nazionala/Nacional;ESPAÑA;2.937,96;2.198,29;1.906,72;1.863,14;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.681,07;2.934,98;2.807,74;2.945,06;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2.340,60;1.645,75;1.540,84;1.643,65;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.738,39;1.548,04;1.590,79;1.539,78;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.361,39;1.205,12;1.188,51;1.338,99;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.044,28;3.601,99;2.971,46;2.918,67;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.813,36;2.581,92;2.040,99;1.696,18;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.074,93;1.896,42;1.638,18;1.592,57;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.194,10;1.242,36;1.220,67;1.180,63;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1.185,44;992,60;924,97;897,17;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.870,12;2.498,38;2.346,92;2.449,58;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;839,70;889,15;825,64;900,38;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2.093,41;1.527,72;1.332,54;1.321,43;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;4.766,26;3.264,93;2.893,22;3.248,30;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.496,89;1.307,82;1.149,81;1.014,65;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; n.d. ;2.377,83;2.072,65;1.806,44;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.440,75;1.291,15;1.272,36;1.312,70;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;2.212,93;1.557,28;1.408,09;1.309,86;;;
;;;;;;;;
;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2023ko 1. hiruhilekoa;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 01 trimestre 2023;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;
Nazionala/Nacional;ESPAÑA;2.023,64;1.591,23;1.408,21;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.978,33;3.582,61;2.775,48;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.684,12;1.296,43;1.175,06;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.583,20;1.510,30;694,87;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.268,50;1.352,94;1.055,89;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.127,13;2.083,06;3.568,23;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.328,15;1.203,86;591,96;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;858,13;623,44;455,47;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.406,18;1.221,45;947,94;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.207,05;963,53;713,51;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;918,89;875,87;617,35;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.175,82;2.422,33;1.788,82;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.705,53;1.658,35;1.359,05;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.462,19;2.036,16;1.988,76;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3.323,59;2.203,76;2.704,40;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.116,33;1.269,88;774,53;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.950,62;1.427,72;1.254,25;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.438,65;1.587,79;1.374,60;;;;
;;;;;;;;
;;;;;;;;
1.1.4.-  Etxebizitza erosteko batez besteko prezioa (€). 2023ko 1. hiruhilekoa;;;;;;;;
1.1.4.- Precio medio de compraventa de vivienda (€). 1 trimestre 2023;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                 ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;181.089,00;213.025,00;173.648,00;;;;
