1.0.-Etxebizitzen salerosketa kopurua. 2018ko 1. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.068,79;930,75;685,23;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;762,98;609,52;412,32;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.276,68;1.182,09;852,20;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.087,77;895,32;612,21;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;823,20;688,16;594,52;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.684,29;2.113,54;1.503,68;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.496,21;1.244,88;1.336,94;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.073,75;1.567,16;1.696,29;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.579,27;1.772,27;2.531,31;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;984,66;1.090,01;625,58;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.597,46;1.144,94;1.130,72;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.208,30;1.391,71;1.198,15;;;
;;;;;;;
;;;;;;;
1.2.- Hiri-lurzoruaren batez besteko prezioa (€/m2). 2018ko 1. hiruhilekoa;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;370,10;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;199,32;;;;;
Lurraldea/TTHH;GIPUZKOA;633,99;;;;;
Lurraldea/TTHH;BIZKAIA;326,22;;;;;
;;;;;;;
;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldakuntza (%). 2018ko 1. hiruhilekoa;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS
Nazionala/Nacional;ESPAÑA;4,78;1,20;0,10;-8,24;0,35;1,39
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2,66;1,20;0,20;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;3,33;1,10;-0,20;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;-1,15;1,10;0,40;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1,06;0,90;-0,30;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;7,18;1,10;0,70;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;6,06;1,20;-0,30;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2,03;1,20;0,00;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;0,65;1,00;-0,10;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;0,81;1,10;0,60;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;6,04;1,50;0,00;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;0,76;1,00;-0,20;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2,38;1,10;1,00;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;MADRIL/MADRID;8,09;1,40;0,00;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-0,83;0,90;-0,40;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;9,54;1,00;1,00;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;8,69;1,00;-0,10;-8,24;0,35;1,39
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;3,15;1,30;0,70;-8,24;0,35;1,39
;;;;;;;
;;;;;;;
1.4.- Atzerritarren salerosketak. 2018ko 1. hiruhilekoa;;;;;;;
1.4.- Compraventas de extranjeros. 01 trimestre 2018;;;;;;;
;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;
ESPAÑA;España;112.654,00;0,87;-;;;
ESPAÑA;Reino Unido;2.466,00;0,02;0,15;;;
ESPAÑA;Alemania;1.324,00;0,01;0,08;;;
ESPAÑA;Francia;1.276,00;0,01;0,08;;;
ESPAÑA;Belgica;1.166,00;0,01;0,07;;;
ESPAÑA;Suecia;1.118,00;0,01;0,07;;;
ESPAÑA;Italia;962,00;0,01;0,06;;;
ESPAÑA;Rumania;905,00;0,01;0,05;;;
ESPAÑA;Marruecos;772,00;0,01;0,05;;;
ESPAÑA;China;650,00;0,01;0,04;;;
ESPAÑA;Rusia;512,00;0,00;0,03;;;
ESPAÑA;Holanda;432,00;0,00;0,03;;;
ESPAÑA;Noruega;341,00;0,00;0,02;;;
ESPAÑA;Ucrania;282,00;0,00;0,02;;;
ESPAÑA;Polonia;229,00;0,00;0,01;;;
ESPAÑA;Bulgaria;216,00;0,00;0,01;;;
ESPAÑA;Argelia;216,00;0,00;0,01;;;
ESPAÑA;Irlanda;189,00;0,00;0,01;;;
ESPAÑA;Suiza;161,00;0,00;0,01;;;
ESPAÑA;Dinamarca;161,00;0,00;0,01;;;
ESPAÑA;Finlandia;149,00;0,00;0,01;;;
ESPAÑA;Gainerakoa/Resto;3.335,00;0,03;0,20;;;
;;;;;;;
;;;;;;;
1.4.- Atzerritarren salerosketak. 2018ko 1. hiruhilekoa;;;;;;;
1.4.- Compraventas de extranjeros. 01 trimestre 2018;;;;;;;
;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;
EUSKADI/PAÍS VASCO;España;5.202,00;0,98;-;;;
EUSKADI/PAÍS VASCO;Rumania;15,00;0,00;0,15;;;
EUSKADI/PAÍS VASCO;China;12,00;0,00;0,12;;;
EUSKADI/PAÍS VASCO;Marruecos;7,00;0,00;0,07;;;
EUSKADI/PAÍS VASCO;Portugal;6,00;0,00;0,06;;;
EUSKADI/PAÍS VASCO;Estados Unidos;4,00;0,00;0,04;;;
EUSKADI/PAÍS VASCO;Ucrania;4,00;0,00;0,04;;;
EUSKADI/PAÍS VASCO;Colombia;3,00;0,00;0,03;;;
EUSKADI/PAÍS VASCO;Italia;3,00;0,00;0,03;;;
EUSKADI/PAÍS VASCO;Belgica;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Bolivia;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Alemania;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Republica Dominicana;2,00;0,00;0,02;;;
