1.0.-Etxebizitza salerosketak. 2012ko 1. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.885,57;3.117,36;3.475,26;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.417,52;1.182,01;1.109,27;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.799,17;1.166,52;535,92;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.670,59;1.306,63;1.145,53;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.947,56;1.654,04;2.599,63;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.517,07;1.518,44;1.286,93;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.876,47;1.418,52;1.270,19;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.411,62;1.006,70;599,19;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;1.156,69;845,66;849,99;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.251,33;1.802,61;1.947,89;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;888,79;1.058,63;496,74;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.556,92;1.194,85;1.105,97;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1.510,89;1.198,69;941,57;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.626,45;1.581,47;3.167,33;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.282,88;1.166,69;904,77;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.856,11;1.303,22;1.240,68;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.468,54;1.224,20;1.245,25;;;;;;;
;;;;;;;;;;;
1.2.- Hiri-lurraren batez besteko prezioa (€/m2). 2012ko 1. hiruhilekoa;;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;582,12;;;;;;;;;
Lurraldea/TTHH;Araba/Álava;247,07;;;;;;;;;
Lurraldea/TTHH;Gipuzkoa;1.752,96;;;;;;;;;
Lurraldea/TTHH;Bizkaia;417,74;;;;;;;;;
;;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldaketa (%). 2012ko 1. hiruhilekoa;;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;;
Nazionala/Nacional;ESPAÑA;-6,81;1,90;1,00;-24,28;3,78;5,12;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;-4,50;1,90;0,20;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;-4,00;1,60;1,00;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;-16,92;1,90;-0,90;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;-10,16;1,90;-0,40;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;-1,08;1,80;0,10;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;-4,65;1,40;1,20;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;-8,29;1,70;0,90;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;-9,61;2,40;1,00;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;-6,42;1,90;2,70;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;-10,67;2,20;1,20;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;-12,34;1,90;1,50;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;-3,30;2,00;0,40;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;-6,01;1,90;1,30;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-3,72;1,60;-1,40;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;-5,45;2,10;1,30;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-13,36;2,20;1,00;-24,28;3,78;5,12;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;-6,38;1,90;1,50;-24,28;3,78;5,12;;;;
;;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2012ko 1. hiruhilekoa;;;;;;1.4.- Atzerritarren salerosketak. 2012ko 1. hiruhilekoa;;;;;
1.4.- Compraventas de extranjeros. 01 trimestre 2012;;;;;;1.4.- Compraventas de extranjeros. 01 trimestre 2012;;;;;
;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;
ESPAÑA;España;82.125,00;0,02;-;;EUSKADI/PAÍS VASCO;España;4.114,00;0,88;-;
ESPAÑA;Erresuma Batua/Reino Unido;991,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Txina/China;7,00;0,00;0,00;
ESPAÑA;Frantzia /Francia;651,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Portugal;4,00;0,00;0,00;
ESPAÑA;Errusia /Rusia;597,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Errumania/Rumania;4,00;0,00;0,00;
ESPAÑA;Alemania;551,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Anguilla;2,00;0,00;0,00;
ESPAÑA;Belgica;383,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Kuba/Cuba;2,00;0,00;0,00;
ESPAÑA;Italia;374,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Argentina;2,00;0,00;0,00;
ESPAÑA;Norvegia/Noruega;305,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Ekuador/Ecuador;2,00;0,00;0,00;
ESPAÑA;Txina/China;269,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Maroko/Marruecos;2,00;0,00;0,00;
ESPAÑA;Suedia/Suecia;252,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Italia;2,00;0,00;0,00;
ESPAÑA;Paises Bajos (Holanda);191,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Txile/Chile;1,00;0,00;0,00;
ESPAÑA;Errumania/Rumania;170,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Kolonbia/Colombia;1,00;0,00;0,00;
ESPAÑA;Aljeria/Argelia;158,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Kroazia/Croacia;1,00;0,00;0,00;
ESPAÑA;Maroko/Marruecos;135,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Frantzia /Francia;1,00;0,00;0,00;
ESPAÑA;Suitza/Suiza;109,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Ukraina/Ucrania;1,00;0,00;0,00;
ESPAÑA;Danimarka/Dinamarca;88,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Errusia /Rusia;1,00;0,00;0,00;
ESPAÑA;Ukraina/Ucrania;84,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Peru;1,00;0,00;0,00;
ESPAÑA;Irlanda;70,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Paises Bajos (Holanda);1,00;0,00;0,00;
ESPAÑA;Finlandia;57,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Moldavia;1,00;0,00;0,00;
ESPAÑA;Argentina;56,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Irlanda;1,00;0,00;0,00;
ESPAÑA;Polonia;49,00;0,00;0,00;;EUSKADI/PAÍS VASCO;AEB/Estados Unidos de América;1,00;0,00;0,00;
ESPAÑA;Gainerakoa/Resto;508,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Gainerakoa/Resto;3,00;0,00;0,00;
;;;;;;;;;;;
;;;;;;;;;;;
1.5.-Etxebizitzen edukiaren batez besteko aldia (egunak/%). 2012ko 1. hiruhilekoa;;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;;
Nazionala/Nacional;ESPAÑA;3.255,00;12,80;20,27;39,61;27,32;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.905,00;7,00;10,81;33,57;48,62;;;;;
;;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2012ko 1. hiruhilekoa;;;;;;;;;;;
2.1.- Distribución de compraventas (%). 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
