1.0.-Etxebizitzen salerosketa kopurua. 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;0,39;1,10;0,40;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;8,14;1,20;0,00;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;-0,05;0,80;0,40;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3,58;1,20;0,40;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;7,74;1,20;-0,10;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-0,85;0,60;-0,10;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;8,57;0,60;1,00;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;8,35;0,60;0,40;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;2,18;1,10;-0,30;7,40;0,38;1,48;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.4.- Compraventas de extranjeros. 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;;
ESPAÑA;España;96.433,00;0,86;-;;;;;;;
ESPAÑA;Reino Unido;2.381,00;0,02;0,16;;;;;;;
ESPAÑA;Francia;1.241,00;0,01;0,08;;;;;;;
ESPAÑA;Alemania;1.192,00;0,01;0,08;;;;;;;
ESPAÑA;Suecia;1.077,00;0,01;0,07;;;;;;;
ESPAÑA;Belgica;1.031,00;0,01;0,07;;;;;;;
ESPAÑA;Italia;795,00;0,01;0,05;;;;;;;
ESPAÑA;Rumania;776,00;0,01;0,05;;;;;;;
ESPAÑA;China;638,00;0,01;0,04;;;;;;;
ESPAÑA;Marruecos;557,00;0,01;0,04;;;;;;;
ESPAÑA;Rusia;433,00;0,00;0,03;;;;;;;
ESPAÑA;Holanda;416,00;0,00;0,03;;;;;;;
ESPAÑA;Noruega;354,00;0,00;0,02;;;;;;;
ESPAÑA;Ucrania;226,00;0,00;0,01;;;;;;;
ESPAÑA;Polonia;217,00;0,00;0,01;;;;;;;
ESPAÑA;Irlanda;193,00;0,00;0,01;;;;;;;
ESPAÑA;Dinamarca;179,00;0,00;0,01;;;;;;;
ESPAÑA;Bulgaria;168,00;0,00;0,01;;;;;;;
ESPAÑA;Argelia;164,00;0,00;0,01;;;;;;;
ESPAÑA;Suiza;158,00;0,00;0,01;;;;;;;
ESPAÑA;Finlandia;129,00;0,00;0,01;;;;;;;
ESPAÑA;Gainerakoa/Resto;2.866,00;0,03;0,19;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.4.- Compraventas de extranjeros. 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;;
EUSKADI/PAÍS VASCO;España;3.775,00;0,97;-;;;;;;;
EUSKADI/PAÍS VASCO;Rumania;25,00;0,01;0,22;;;;;;;
EUSKADI/PAÍS VASCO;China;15,00;0,00;0,13;;;;;;;
EUSKADI/PAÍS VASCO;Bolivia;7,00;0,00;0,06;;;;;;;
EUSKADI/PAÍS VASCO;Italia;6,00;0,00;0,05;;;;;;;
EUSKADI/PAÍS VASCO;Francia;6,00;0,00;0,05;;;;;;;
EUSKADI/PAÍS VASCO;Reino Unido;5,00;0,00;0,04;;;;;;;
