1.0.-Etxebizitzen salerosketa kopurua. 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.093,47;2.473,57;2.044,51;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;4.052,82;4.082,01;4.046,73;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.214,42;2.134,55;2.221,89;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.239,55;2.408,24;2.171,16;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;2.629,48;1.937,42;1.681,58;1.640,61;;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.663,41;2.532,10;2.440,81;2.489,95;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2.046,01;1.450,66;1.303,56;1.350,26;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.416,20;1.277,64;1.276,73;1.418,16;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.415,59;1.111,55;1.095,59;1.335,67;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.831,15;2.390,25;2.311,06;2.224,12;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.664,95;2.060,52;1.601,93;1.477,57;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.989,71;1.541,55;1.487,22;1.513,52;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.419,70;1.041,20;1.081,45;1.096,59;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;800,11;895,77;907,87;893,90;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.771,03;2.317,62;2.240,78;2.309,22;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;686,39;791,33;736,41;797,26;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.690,94;1.465,26;1.305,36;1.251,54;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3.834,58;2.730,02;2.407,68;2.508,37;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.155,36;1.175,14;999,01;922,70;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.637,36;1.860,53;1.474,10;1.565,01;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.250,04;1.276,37;1.008,10;1.014,68;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.724,09;1.389,32;1.162,99;1.139,25;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;1.781,09;1.367,64;1.342,44;;;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.545,76;3.181,20;2.821,40;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.408,54;1.162,94;1.064,60;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.357,47;1.113,08;721,02;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.237,53;1.169,47;1.024,49;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.328,44;1.970,07;2.711,76;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.083,71;915,88;685,59;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;790,29;613,68;462,27;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.341,93;939,43;893,98;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.099,74;834,01;531,11;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;891,79;733,80;600,13;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.795,81;2.313,47;1.638,98;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.519,99;1.160,65;1.458,85;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.293,52;1.684,13;1.873,70;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.692,00;1.811,92;2.563,41;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.004,20;1.127,61;736,43;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.579,32;1.096,89;1.080,76;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.255,02;1.352,33;1.206,49;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1.2.- Hiri-lurzoruaren batez besteko prezioa (€/m2). 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;441,84;;;;;;;;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;258,15;;;;;;;;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;737,67;;;;;;;;;;;;;;;
Lurraldea/TTHH;BIZKAIA;360,97;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldakuntza (%). 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;4,36;1,30;0,20;-3,75;0,28;1,22;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2,70;1,50;0,80;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;3,26;1,20;-0,30;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;5,90;1,20;0,30;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2,88;1,30;-0,30;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3,06;1,10;0,70;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;8,47;0,80;0,80;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;-0,73;1,30;0,50;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;2,41;1,60;0,20;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4,30;1,40;-0,50;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;6,07;1,40;0,50;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;5,51;1,20;0,70;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3,17;1,40;-0,10;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;8,28;1,60;0,60;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3,06;0,90;0,10;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;5,13;1,70;0,50;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;11,26;1,30;-0,30;-3,75;0,28;1,22;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;4,17;1,30;-0,40;-3,75;0,28;1,22;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.4.- Compraventas de extranjeros. 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;;;;;;;;
