1.0.- Número de compraventas de vivienda. 2021ko 2. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;59,57;40,43;40,10;0,00;0,33;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;46,32;53,68;52,06;0,12;1,50;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;75,75;24,25;23,69;0,13;0,43;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;64,31;35,69;32,20;0,47;3,02;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;61,71;38,29;38,29;0,00;0,00;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;61,68;38,32;37,50;0,17;0,65;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;38,04;61,96;61,24;0,00;0,72;;;;;
Lurraldea/TTHH;GIPUZKOA;60,94;39,06;38,87;0,00;0,19;;;;;
Lurraldea/TTHH;BIZKAIA;45,08;54,92;54,77;0,10;0,05;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.4.1.- Hipoteka-kredituen batez besteko iraupena (hilabetetan). Entitate mota. 2021ko 2. hiruhilekoa;;;;;;;;;;;
3.4.1.- Duración media de los nuevos créditos hipotecarios (meses). Tipo entidad. 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; BATEZBESTEKOA MEDIA ; BANKUAK/KUTXAK BANCOS/CAJAS ; BESTELAKOAK OTRAS ;;;;;;;
Nazionala/Nacional;ESPAÑA;295,00;298,00;275,00;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;296,00;300,00;281,00;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;297,00;297,00;295,00;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;286,00;287,00;276,00;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;290,00;278,00;318,00;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;272,00;275,00;211,00;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;285,00;287,00;255,00;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;290,00;289,00;324,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;281,00;280,00;283,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;286,00;284,00;294,00;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;301,00;303,00;251,00;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;305,00;304,00;310,00;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;284,00;284,00;297,00;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;320,00;321,00;304,00;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;271,00;277,00;241,00;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;293,00;289,00;300,00;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;272,00;271,00;276,00;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;275,00;283,00;217,00;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;305,00;304,00;307,00;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;281,00;290,00;266,00;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;310,00;312,00;291,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;295,00;290,00;316,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;287,00;290,00;281,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;296,00;299,00;267,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;305,00;304,00;308,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;291,00;291,00; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;285,00;292,00;280,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;304,00;308,00;272,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;284,00;291,00;268,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;306,00;306,00; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;284,00;286,00;275,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;310,00;306,00;341,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;291,00;285,00; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;211,00; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;292,00;287,00;310,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;288,00;289,00;287,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;180,00;182,00; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;295,00; n.d. ;295,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;285,00;284,00;286,00;;;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.4.2.- Hipoteka-kredituen batez besteko iraupena (hilabetetan). Higiezinaren mota.  2021ko 2. hiruhilekoa;;;;;;;;;;;
3.4.2.- Duración media de los nuevos créditos hipotecarios (meses). Tipo bien inmueble. 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; BATEZBESTEKOA MEDIA ; ETXEBIZITZAK VIVIENDAS ; LOKALAK LOCALES ;GARAJEAK/TRASTEROAK GARAJE/TRASTEROS;ORUBEAK SOLARES;NABEAK   NAVES;;;;
Nazionala/Nacional;ESPAÑA;293,00;295,00;186,00;306,00;242,00;158,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;291,00;296,00;181,00;313,00;227,00;140,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;291,00;297,00;196,00;283,00;265,00;185,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;289,00;286,00;193,00;316,00;261,00;169,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;295,00;290,00;176,00;329,00;316,00;n.d.;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;271,00;272,00;153,00;324,00;231,00;170,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;279,00;285,00;174,00;284,00;234,00;162,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;288,00;290,00;203,00;294,00;n.d.;173,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;279,00;281,00;186,00;290,00;291,00;154,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;284,00;286,00;180,00;308,00;263,00;144,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;300,00;301,00;177,00;326,00;267,00;149,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;292,00;305,00;245,00;304,00;109,00;195,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;281,00;284,00;185,00;294,00;219,00;188,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;320,00;320,00;189,00;340,00;314,00;n.d.;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;269,00;271,00;196,00;271,00;273,00;160,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;286,00;293,00;188,00;304,00;167,00;156,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;271,00;272,00;169,00;293,00;n.d.;n.d.;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;277,00;275,00;190,00;321,00;232,00;132,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;301,00;305,00;146,00;324,00;n.d.;n.d.;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;268,00;281,00;171,00;212,00;n.d.;n.d.;;;;
Hiriburak/Capitales de TTHH;Bilbao;300,00;310,00;143,00;322,00;n.d.;n.d.;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;291,00;295,00; n.d. ;314,00;n.d.;n.d.;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;285,00;287,00;195,00;325,00;244,00;158,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;293,00;296,00;207,00;322,00;229,00;123,00;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;301,00;305,00;146,00;326,00;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;295,00;291,00; n.d. ;n.d.;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;281,00;285,00; n.d. ;n.d.;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;298,00;304,00;171,00;321,00;195,00;109,00;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;277,00;284,00;175,00;277,00;246,00;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Durango;306,00;306,00;217,00;345,00;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Eibar;282,00;284,00; n.d. ;n.d.;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;291,00;310,00;205,00;270,00;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Igorre;298,00;291,00; n.d. ;n.d.;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;195,00; n.d. ; n.d. ;n.d.;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;288,00;292,00; n.d. ;n.d.;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;288,00;288,00; n.d. ;313,00;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Mungia;190,00;180,00; n.d. ;n.d.;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;291,00;295,00; n.d. ;n.d.;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;281,00;285,00; n.d. ;309,00;n.d.;n.d.;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.5.1.- Batez besteko hileroko hipoteka-kuota (€) eta  Soldata-kostuari buruz ehunekoa. 2021ko 2. hiruhilekoa;;;;;;;;;;;
3.5.1.- Cuota hipotecaria mensual media (€) y Porcentaje respecto al coste salarial. 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                         ÁMBITO; Hileko kuota Cuota mensual ; Soldata-kostua Coste salarial ; % soldataren gaineko kuota % cuota sobre salario ;;;;;;;
Nazionala/Nacional;ESPAÑA;596,97;1.908,09;31,29;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;646,99;2.262,13;28,60;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;505,22;1.690,68;29,88;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;505,12;1.827,29;27,64;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;448,19;1.963,10;22,83;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;857,32;1.613,06;53,15;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;528,64;1.418,36;37,27;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;473,26;1.828,87;25,88;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;419,35;1.746,00;24,02;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;406,96;1.704,19;23,88;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;690,16;2.021,54;34,14;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;353,21;1.545,42;22,86;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;459,42;1.738,18;26,43;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;868,21;2.319,32;37,43;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;383,64;1.735,38;22,11;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;514,37;2.123,26;24,23;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;436,60;1.717,84;25,42;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;444,91;1.688,74;26,35;;;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.5.2.- Interes-mota. Zenbatekoa (%). 2021ko 2. hiruhilekoa;;;;;;;;;;;
3.5.2.- Tipos de interés. Importe (%). 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; INTERESA     INTERES ;;;;;;;;;
Nazionala/Nacional;ESPAÑA;2,02;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1,49;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2,04;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2,14;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2,03;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2,10;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2,06;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1,93;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;2,00;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;2,23;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2,09;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2,26;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2,03;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1,91;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2,14;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1,89;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1,93;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;2,09;;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;1,40;;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;1,47;;;;;;;;;
Lurraldea/TTHH;BIZKAIA;1,52;;;;;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
