1.0.-Etxebizitza salerosketak. 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;-1,14;3,60;-0,20;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;-2,58;3,30;1,10;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;-8,54;3,90;-0,50;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;-7,16;3,70;0,80;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;-12,39;3,50;2,00;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;-13,04;3,90;0,80;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;-10,11;3,30;1,70;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;-3,76;3,30;0,10;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;-8,48;3,20;1,90;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-4,50;3,30;-1,00;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;-0,38;3,60;-0,90;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-14,81;3,60;0,10;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;-7,09;3,40;0,40;-7,59;5,61;6,42;;;;;;;;
;;;;;;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2012ko 3. hiruhilekoa;;;;;;1.4.- Atzerritarren salerosketak. 2012ko 3. hiruhilekoa;;;;;;;;;
1.4.- Compraventas de extranjeros. 03 trimestre 2012;;;;;;1.4.- Compraventas de extranjeros. 03 trimestre 2012;;;;;;;;;
;;;;;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;
ESPAÑA;España;73.525,00;0,01;-;;EUSKADI/PAÍS VASCO;España;2.863,00;0,86;-;;;;;
ESPAÑA;Erresuma Batua/Reino Unido;1.071,00;0,00;0,00;;EUSKADI/PAÍS VASCO;China;6,00;0,00;0,00;;;;;
ESPAÑA;Frantzia /Francia;632,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Rumania;4,00;0,00;0,00;;;;;
ESPAÑA;Errusia /Rusia;612,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Francia;3,00;0,00;0,00;;;;;
ESPAÑA;Alemania;481,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Italia;3,00;0,00;0,00;;;;;
ESPAÑA;Belgica;413,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Portugal;3,00;0,00;0,00;;;;;
ESPAÑA;Italia;357,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Mexico;2,00;0,00;0,00;;;;;
ESPAÑA;Norvegia/Noruega;302,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Ucrania;2,00;0,00;0,00;;;;;
ESPAÑA;Txina/China;278,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Argentina;1,00;0,00;0,00;;;;;
ESPAÑA;Suedia/Suecia;247,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Reino Unido;1,00;0,00;0,00;;;;;
ESPAÑA;Paises Bajos (Holanda);243,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Paises Bajos (Holand;1,00;0,00;0,00;;;;;
ESPAÑA;Errumania/Rumania;203,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Marruecos;1,00;0,00;0,00;;;;;
ESPAÑA;Aljeria/Argelia;196,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Venezuela;1,00;0,00;0,00;;;;;
ESPAÑA;Maroko/Marruecos;178,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Ecuador;1,00;0,00;0,00;;;;;
ESPAÑA;Suitza/Suiza;87,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Armenia;1,00;0,00;0,00;;;;;
