1.0.-Etxebizitzen salerosketa kopurua. 2016ko 3. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Lurraldea/TTHH;GIPUZKOA;244,12;;;;;;;;
Lurraldea/TTHH;BIZKAIA;296,59;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldakuntza (%). 2016ko 3. hiruhilekoa;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 03 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;
Nazionala/Nacional;ESPAÑA;4,70;0,20;0,70;-8,16;0,10;1,03;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3,79;0,30;-0,50;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;4,28;0,20;0,50;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;-0,27;0,20;0,90;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;-0,79;0,40;2,00;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3,54;0,10;0,60;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4,92;0,20;1,50;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;3,50;0,20;1,60;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;-0,26;0,20;2,40;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;2,41;0,10;-3,10;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;3,86;0,40;1,30;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;-0,82;0,30;0,30;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2,50;0,20;-0,20;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;6,06;0,00;1,50;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-0,12;0,10;0,40;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;-0,71;0,60;-1,10;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-5,52;-0,20;1,10;-8,16;0,10;1,03;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;0,64;-0,10;0,30;-8,16;0,10;1,03;;;
;;;;;;;;;;
;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2016ko 3. hiruhilekoa;;;;;;1.4.- Atzerritarren salerosketak. 2016ko 3. hiruhilekoa;;;;
1.4.- Compraventas de extranjeros. 03 trimestre 2016;;;;;;1.4.- Compraventas de extranjeros. 03 trimestre 2016;;;;
;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros
ESPAÑA;España;89.122,00;0,87;-;;EUSKADI/PAÍS VASCO;España;3.584,00;97,47%;-
ESPAÑA;Reino Unido;2.414,00;0,02;0,18;;EUSKADI/PAÍS VASCO;Rumania;14,00;0,38%;15,05%
ESPAÑA;Francia;1.209,00;0,01;0,09;;EUSKADI/PAÍS VASCO;China;12,00;0,33%;12,90%
ESPAÑA;Alemania;994,00;0,01;0,07;;EUSKADI/PAÍS VASCO;Marruecos;9,00;0,24%;9,68%
ESPAÑA;Suecia;962,00;0,01;0,07;;EUSKADI/PAÍS VASCO;Italia;7,00;0,19%;7,53%
ESPAÑA;Belgica;838,00;0,01;0,06;;EUSKADI/PAÍS VASCO;Francia;6,00;0,16%;6,45%
ESPAÑA;Italia;739,00;0,01;0,05;;EUSKADI/PAÍS VASCO;Colombia;4,00;0,11%;4,30%
ESPAÑA;Rumania;627,00;0,01;0,05;;EUSKADI/PAÍS VASCO;Reino Unido;4,00;0,11%;4,30%
ESPAÑA;China;574,00;0,01;0,04;;EUSKADI/PAÍS VASCO;Bolivia;3,00;0,08%;3,23%
ESPAÑA;Marruecos;427,00;0,00;0,03;;EUSKADI/PAÍS VASCO;Ucrania;3,00;0,08%;3,23%
ESPAÑA;Rusia;368,00;0,00;0,03;;EUSKADI/PAÍS VASCO;Portugal;3,00;0,08%;3,23%
ESPAÑA;Holanda;326,00;0,00;0,02;;EUSKADI/PAÍS VASCO;Estados Unidos;2,00;0,05%;2,15%
ESPAÑA;Noruega;292,00;0,00;0,02;;EUSKADI/PAÍS VASCO;Bulgaria;2,00;0,05%;2,15%
