1.0.-Etxebizitza salerosketak. 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.305,05;1.250,04;1.156,25;;;;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1.2.- Hiri-lurraren batez besteko prezioa (€/m2). 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;330,36;;;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;259,69;;;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;363,74;;;;;;;;;;
Lurraldea/TTHH;BIZKAIA;378,40;;;;;;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldaketa (%). 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;;;
Nazionala/Nacional;ESPAÑA;0,86;1,30;-0,20;26,45;-0,26;0,29;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4,98;1,40;0,00;26,45;-0,26;0,29;;;;;
